graph,alpha_log2,eps_log2,status_po,W_push_oracle,thr_ratio
caterpillar,-11,-12,ok,883727,1.2284805361068698
caterpillar,-11,-13,ok,1248080,1.202156731452703
caterpillar,-12,-3,ok,5413,1.3252366431597413
caterpillar,-12,-4,ok,5957,1.3252366431597413
caterpillar,-12,-5,ok,11992,1.241857812073484
caterpillar,-12,-6,ok,5249,1.4451808069770469
caterpillar,-12,-7,ok,23893,1.593142151342267
caterpillar,-12,-8,ok,117936,1.4451808069770469
caterpillar,-12,-9,ok,361312,1.3252366431597413
caterpillar,-12,-10,ok,767130,1.2690509571917332
caterpillar,-12,-11,ok,1330625,1.2284805361068698
caterpillar,-12,-12,ok,2072858,1.2284805361068698
caterpillar,-12,-13,ok,3001617,1.202156731452703
caterpillar,-13,-3,ok,10828,1.3252366431597413
caterpillar,-13,-4,ok,11963,1.3252366431597413
caterpillar,-13,-5,ok,24487,1.241857812073484
caterpillar,-13,-6,ok,8500,1.241857812073484
caterpillar,-13,-7,ok,27235,1.6104903319492545
caterpillar,-13,-8,ok,154710,1.5255981507445386
caterpillar,-13,-9,ok,615108,1.3690024229745907
caterpillar,-13,-10,ok,1546700,1.2690509571917332
caterpillar,-13,-11,ok,2930792,1.2284805361068698
caterpillar,-13,-12,ok,4745951,1.2284805361068698
caterpillar,-13,-13,ok,7174240,1.189207115002721
caterpillar,-14,-3,ok,21658,1.3252366431597413
caterpillar,-14,-4,ok,23975,1.3252366431597413
caterpillar,-14,-5,ok,49492,1.241857812073484
caterpillar,-14,-6,ok,115011,1.1763969916502812
caterpillar,-14,-7,ok,33451,1.542210825407941
caterpillar,-14,-8,ok,188620,1.5759808451078865
caterpillar,-14,-9,ok,926165,1.4451808069770469
caterpillar,-14,-10,ok,2890599,1.3109612115247644
caterpillar,-14,-11,ok,6148842,1.255380757024691
caterpillar,-14,-12,ok,10688307,1.2152473599804687
caterpillar,-14,-13,ok,16714763,1.202156731452703
btree,-2,-3,ok,2,4.0
btree,-2,-4,ok,4,2.98581545658253
btree,-2,-5,ok,20,1.6636765803267366
btree,-2,-6,ok,46,1.1511892299529827
btree,-2,-7,ok,66,1.5255981507445386
btree,-2,-8,ok,98,1.7562521603732995
btree,-2,-9,ok,186,1.4142135623730951
btree,-2,-10,ok,254,1.42961333839197
btree,-2,-11,ok,412,1.3396675240533031
btree,-2,-12,ok,686,1.189207115002721
btree,-2,-13,ok,874,1.6817928305074292
btree,-3,-3,ok,2,4.0
btree,-3,-4,ok,4,3.4746676705474124
btree,-3,-5,ok,20,1.9360617934922943
btree,-3,-6,ok,54,2.0437942973082333
btree,-3,-7,ok,106,1.6817928305074292
btree,-3,-8,ok,226,1.7001063537185235
btree,-3,-9,ok,410,1.593142151342267
btree,-3,-10,ok,662,1.4768261459394996
btree,-3,-11,ok,1346,1.3396675240533031
btree,-3,-12,ok,1722,1.6817928305074292
btree,-3,-13,ok,3006,1.42961333839197
btree,-4,-3,ok,0,256.0
btree,-4,-4,ok,2,8.0
btree,-4,-5,ok,20,2.5381019143834664
btree,-4,-6,ok,54,2.6504732863194826
btree,-4,-7,ok,170,1.978456026387951
btree,-4,-8,ok,378,1.6104903319492545
btree,-4,-9,ok,726,1.6457554781539652
btree,-4,-10,ok,1546,1.492907728291265
btree,-4,-11,ok,2634,1.5759808451078865
btree,-4,-12,ok,4658,1.4451808069770469
btree,-4,-13,ok,8530,1.4609177941806473
btree,-5,-3,ok,0,256.0
btree,-5,-4,ok,0,256.0
btree,-5,-5,ok,4,7.744247173969177
