family,vertices,alpha,epsilon,engine,stage1_work,stage1_pushes,envelope_volume,reference_support_volume,handoff_semantic_error,tail_iterations,stage2_work,total_work,semantic_error,screen_succeeded
binary-depth-7,255,0.01,0.05,appr-direct-ppr,30,11,20,8,0.004822001961228762,0,0,30,0.004822001961228762,
binary-depth-7,255,0.01,0.05,green-ball-screen-or-appr,68,11,20,8,0.004822001961228762,0,0,68,0.004822001961228762,False
binary-depth-7,255,0.01,0.05,priority-gs-direct-ppr,30,11,20,508,0.005167349467625551,0,0,30,0.005167349467625551,
binary-depth-7,255,0.01,0.05,appr-envelope,94,33,44,20,0.0031821674092357985,0,0,94,0.019490969595735635,
binary-depth-7,255,0.01,0.05,gs-gap-envelope-oracle-stop,94,33,2,44,0.009783716456255549,0,0,94,0.019490969595735635,
binary-depth-7,255,0.01,0.05,priority-gs-positive-key-envelope,72,26,2,44,0.009783716456255549,0,0,72,0.019490969595735635,
binary-depth-7,255,0.01,0.05,priority-gs-positive-key-envelope-tuned,80,29,2,20,0.009783716456255549,0,0,80,0.019490969595735635,
binary-depth-7,255,0.01,0.1,appr-direct-ppr,10,4,8,8,0.00654873949321271,0,0,10,0.00654873949321271,
binary-depth-7,255,0.01,0.1,green-ball-screen-or-appr,30,4,8,8,0.00654873949321271,0,0,30,0.00654873949321271,False
binary-depth-7,255,0.01,0.1,priority-gs-direct-ppr,10,4,8,508,0.00654873949321271,0,0,10,0.00654873949321271,
binary-depth-7,255,0.01,0.1,appr-envelope,30,11,20,8,0.004822001961228762,0,0,30,0.019490969595735635,
binary-depth-7,255,0.01,0.1,gs-gap-envelope-oracle-stop,28,10,0,20,0.019490969595735635,0,0,28,0.019490969595735635,
binary-depth-7,255,0.01,0.1,priority-gs-positive-key-envelope,38,14,0,20,0.019490969595735635,0,0,38,0.019490969595735635,
binary-depth-7,255,0.01,0.1,priority-gs-positive-key-envelope-tuned,18,7,2,8,0.009783716456255549,0,0,18,0.019490969595735635,
binary-depth-7,255,0.04,0.05,appr-direct-ppr,10,4,8,8,0.013985893570456067,0,0,10,0.013985893570456067,
binary-depth-7,255,0.04,0.05,green-ball-screen-or-appr,48,4,8,8,0.013985893570456067,0,0,48,0.013985893570456067,False
binary-depth-7,255,0.04,0.05,priority-gs-direct-ppr,10,4,8,508,0.013985893570456067,0,0,10,0.013985893570456067,
binary-depth-7,255,0.04,0.05,appr-envelope,30,11,20,20,0.008383848824123658,2,40,70,0.026295581320384568,
binary-depth-7,255,0.04,0.05,gs-gap-envelope-oracle-stop,68,24,8,44,0.010810055622568052,3,24,92,0.0156289146537179,
binary-depth-7,255,0.04,0.05,priority-gs-positive-key-envelope,58,21,8,44,0.010810055622568052,3,24,82,0.0156289146537179,
binary-depth-7,255,0.04,0.05,priority-gs-positive-key-envelope-tuned,58,21,8,20,0.012648418016713181,3,24,82,0.0156289146537179,
binary-depth-7,255,0.04,0.1,appr-direct-ppr,10,4,8,8,0.013985893570456067,0,0,10,0.013985893570456067,
binary-depth-7,255,0.04,0.1,green-ball-screen-or-appr,30,4,8,8,0.013985893570456067,0,0,30,0.013985893570456067,False
binary-depth-7,255,0.04,0.1,priority-gs-direct-ppr,10,4,8,508,0.013985893570456067,0,0,10,0.013985893570456067,
binary-depth-7,255,0.04,0.1,appr-envelope,10,4,8,8,0.013985893570456067,1,8,18,0.04229558132038457,
binary-depth-7,255,0.04,0.1,gs-gap-envelope-oracle-stop,33,12,2,20,0.025820213097083287,1,2,35,0.04229558132038457,
binary-depth-7,255,0.04,0.1,priority-gs-positive-key-envelope,18,7,2,20,0.025820213097083287,1,2,20,0.04229558132038457,
binary-depth-7,255,0.04,0.1,priority-gs-positive-key-envelope-tuned,18,7,2,8,0.025820213097083287,1,2,20,0.04229558132038457,
binary-depth-7,255,0.16,0.05,appr-direct-ppr,10,4,8,8,0.014921801378834525,0,0,10,0.014921801378834525,
binary-depth-7,255,0.16,0.05,green-ball-screen-or-appr,48,4,8,8,0.014921801378834525,0,0,48,0.014921801378834525,False
binary-depth-7,255,0.16,0.05,priority-gs-direct-ppr,10,4,8,508,0.014921801378834525,0,0,10,0.014921801378834525,
binary-depth-7,255,0.16,0.05,appr-envelope,30,11,20,20,0.005415699882154986,3,60,90,0.020845706431243453,
